ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId
Calculate the duration of an event given start and end times,Time Calculations,A,A movie starts at 2:45 PM and ends at 5:20 PM. How long is the movie?,2 hours 35 minutes,2 hours 75 minutes,3 hours 35 minutes,2 hours 20 minutes,,299.0,,
Multiplication of a number by a decimal,Multiplication and Division with Decimals,B,What is the value of \( 5 \times 0.2 \)?,\( 10 \),\( 1 \),\( 0.1 \),\( 2.5 \),301.0,,,
Calculate the perimeter of combined shapes using squares,Perimeter of Combined Shapes,B,"Two squares, each with a side length of 5 cm, are placed side by side to form a larger shape. What is the perimeter of the new shape?",20 cm,30 cm,40 cm,50 cm,304.0,,,
Understand the concept of doubling in real-world contexts,Multiplication and Division,A,"A recipe for a cake requires 3 cups of flour. If you want to make a cake that is twice as big, how many cups of flour will you need?",6 cups,5 cups,4 cups,3 cups,,310.0,,
Calculate the gradient of a line given two points,Gradients and Rates of Change,B,"What is the gradient of the line passing through the points (2, 3) and (4, 7)?",\( \frac{10}{6} \),\( 2 \),\( \frac{4}{2} \),\( \frac{7}{4} \),311.0,,,
Count the total number of edges in a 3D shape,Properties of 3D Shapes,A,"A rectangular prism has a length of 5 cm, a width of 3 cm, and a height of 4 cm. How many edges does this rectangular prism have in total?",12,8,16,20,,313.0,,
Calculate the power of a negative number,Powers and Exponents,B,Calculate \( (-3)^4 \).,\( -81 \),\( 81 \),\( -12 \),\( 12 \),314.0,,,
Distinguish between primary and secondary data,Data Handling,C,"A researcher is studying the eating habits of teenagers. She collects data by interviewing 100 teenagers about their daily food intake and also uses data from a national health survey that includes information on the eating habits of teenagers.

Which of the following statements is true regarding the data types used in this study?
",The data from the interviews is secondary data.,The data from the national health survey is primary data.,The data from the interviews is primary data.,Both the interview data and the national health survey data are secondary data.,316.0,,,
Factorise a linear expression,Factorising Linear Expressions,A,Factorise the following expression: \( 12x + 18 \),\( 6(2x + 3) \),\( 12(x + 1.5) \),\( 3(4x + 6) \),\( 18(x + 2) \),,,319.0,
Factorise a quadratic expression in the form x² + bx + c,Factorising into a Double Bracket,A,When factorising \( x^{2}+7 x+12 \) we need two numbers that:,Add to give \( 7 \) and multiply to give \( 12 \),Add to give \( 7 x \) and multiply to give \( 12 \),Add to give \( 12 \) and multiply to give \( 7 \),Add to give \( 12 x \) and multiply to give \( 7 \),,,320.0,
Understand the concept of frequency density in histograms,Frequency Density,C,"A teacher is creating a histogram to represent the distribution of test scores in a class. The class width for the score range 60-70 is 10, and the frequency of students who scored in this range is 15. What is the frequency density for this class interval?",150,15,1.5,10,321.0,,,
Measure the length of a line segment,Measurement and Geometry,A,"A line segment is drawn on a piece of paper. When measured with a ruler, the line starts at the 2 cm mark and ends at the 7 cm mark. What is the length of the line segment?",5 cm,7 cm,9 cm,2 cm,,323.0,,
Understand the concept of inverse proportion,Inverse Proportion,A,"Two variables, \( x \) and \( y \), are inversely proportional. If \( x = 4 \) when \( y = 6 \), what is the value of \( y \) when \( x = 12 \)?",\( 2 \),\( 3 \),\( 18 \),\( 24 \),,,324.0,
Interpret a graph with labelled axes,Graphs and Data Interpretation,B,"The graph below shows the relationship between the number of hours studied and the test scores of a group of students. What is the test score for a student who studied for 3 hours? ![A graph with the x-axis labelled ""Hours Studied"" and the y-axis labelled ""Test Score"". The graph shows a straight line passing through points (0, 50) and (5, 100).]",70,80,90,60,325.0,,,
Understand and apply ratios to real-world problems,Ratios and Proportions,A,"A recipe for a cake requires 3 cups of flour for every 2 cups of sugar. If a baker wants to make a cake using 12 cups of flour, how many cups of sugar are needed?",8 cups,6 cups,18 cups,4 cups,,,327.0,
Solve problems involving direct and inverse proportion,Direct and Inverse Proportion,A,"A car travels at a speed that is directly proportional to the square of the time it has been driving. If the car travels 100 km in 2 hours, what is the constant of proportionality \( k \)?

The relationship can be expressed as:
\[ v = k \cdot t^2 \]
where \( v \) is the speed in km/h and \( t \) is the time in hours.

Given that the car travels 100 km in 2 hours, we can use the formula for distance:
\[ \text{Distance} = \text{Speed} \times \text{Time} \]
\[ 100 = v \cdot 2 \]

What is the value of \( k \)?",\( 25 \),\( 50 \),\( 12.5 \),\( 10 \),,,330.0,
Identify coordinates of points on a 2D grid,Naming Co-ordinates in 2D,A,"What are the coordinates of point P on the grid below? ![A coordinate grid with a point P at (3, 5). The x-axis ranges from -5 to 5, and the y-axis ranges from -5 to 5.]","(3, 5)","(5, 3)","(3, 0)","(0, 5)",,333.0,,
Convert percentages to fractions,Converting between Fractions and Percentages,B,"A recipe calls for 30% of a cup of sugar. If you only have a 1/3 cup measuring cup, will using the 1/3 cup measure give you the correct amount of sugar?","Yes, 30% is the same as 1/3 cup.","No, 30% is less than 1/3 cup.","No, 30% is more than 1/3 cup.",Not enough information.,335.0,,,
Compare Decimal Numbers,Decimal Numbers,C,Which of the following numbers is the largest?,3.2,3.02,3.22,3,,,,336.0
Identify the correct form of a quadratic equation,Quadratic Equations,D,Which of the following is a correct form of a quadratic equation?,\( 3x^2 + 5x \),\( 3x^2 + 5 \),\( 3x + 5x^2 \),\( 3x^2 + 5x + 2 \),341.0,,,
Calculate the height of an isosceles triangle using the Pythagorean theorem,Pythagorean Theorem and Isosceles Triangles,A,An isosceles triangle has a base of 10 cm and two equal sides of 13 cm each. What is the height of the triangle from the base to the opposite vertex?,12 cm,6 cm,10 cm,5 cm,,,342.0,
Interpret data from a pie chart,Data Representation,B,"A pie chart shows the distribution of 120 students across four subjects: Math, Science, English, and History. The Math sector is 90 degrees, the Science sector is 120 degrees, the English sector is 100 degrees, and the History sector is 50 degrees. How many students are in the Science class?",30 students,40 students,50 students,60 students,343.0,,,
Solve problems involving adding a period of time on to a given start time,Time,B,A train departs from a station at 14:10 and the journey takes 3 hours and 45 minutes. What time does the train arrive at its destination?,17:55,18:55,17:15,18:15,,,348.0,
Identify and define parts of a circle,Properties of Circles,A,Which of the following statements correctly defines a chord in a circle?,A chord is a line segment that starts and ends on the circumference of a circle.,A chord is a line segment that starts on the circumference and ends at the center of the circle.,A chord is a line segment that can start and end anywhere inside the circle.,"A chord is a line segment that starts and ends on the circumference of a circle, but it can also pass through the center.",,,351.0,
Interpret the class width in a histogram,Histograms,B,"A histogram is used to represent the distribution of the number of pages in a collection of books. The class intervals are 0-50, 50-100, 100-150, 150-200, and 200-250 pages. The heights of the bars for these intervals are 2, 5, 3, 4, and 1, respectively. If the width of each class interval is 50 pages, what does the height of the bar for the 100-150 pages interval represent?",The frequency of books with 100-150 pages,The number of books with 100-150 pages,The width of the class interval for 100-150 pages,The total number of pages in books with 100-150 pages,,,354.0,
Find missing angles in a triangle,Angles in a Triangle,B,"In a triangle, the measures of two angles are \( 45^\circ \) and \( 70^\circ \). What is the measure of the third angle?",\( 115^\circ \),\( 65^\circ \),\( 135^\circ \),\( 180^\circ \),356.0,,,
Write a number in standard form,Place Value and Standard Form,B,Write the number 3456 in standard form.,6543,3456,3.456 × 10^3,6.543 × 10^3,358.0,,,
Calculate and interpret relative frequency,Probability and Statistics,B,"A survey was conducted to find out the favorite fruit of 100 students. The results are as follows:
- Apples: 30 students
- Bananas: 20 students
- Oranges: 50 students

What is the relative frequency of students who prefer oranges?
",50,0.5,0.3,0.2,360.0,,,
Prime Factorization and Counting,Prime Factorization,C,What is the total number of prime factors in the prime factorization of 100?,2,3,4,5,361.0,,,
Calculate the range from a list of numbers,Measures of Spread,A,"A teacher recorded the number of books read by each student in a class over the summer. The numbers of books read are as follows: 5, 7, 7, 8, 8, 8, 10, 12. What is the range of the number of books read?",7,5,12,8,,,,365.0
Identify co-interior angles,Angle Facts with Parallel Lines,D,"In the diagram below, lines \( l \) and \( m \) are not parallel. What is the relationship between angles \( \angle A \) and \( \angle B \)? ![Diagram showing two lines l and m intersected by a transversal. Angles A and B are marked on the same side of the transversal, but lines l and m are not parallel.]",Co-interior angles,Corresponding angles,Alternate angles,No specific relationship,367.0,,,
Identify properties of a kite,Properties of Quadrilaterals,B,Which of the following statements is true about a kite?,A kite has one pair of parallel sides.,A kite has two pairs of adjacent sides that are equal.,A kite has all four sides equal.,A kite has all angles equal.,368.0,,,
Translate a point on a coordinate plane,Translation and Vectors,A,"A point \( P \) is located at \( (3, 5) \). If \( P \) is translated 4 units to the right and 2 units up, what are the new coordinates of \( P \)?","\( (7, 7) \)","\( (7, 3) \)","\( (1, 7) \)","\( (1, 3) \)",,369.0,,
Divide fractions by fractions,Dividing Fractions,A,Calculate \( \frac{3}{4} \div \frac{2}{3} \).,\( \frac{9}{8} \),\( \frac{8}{9} \),\( \frac{1}{2} \),\( \frac{3}{2} \),,371.0,,
Understanding Reciprocals,Fractions and Reciprocals,B,What is the reciprocal of 5?,0.5,1/5,5,0.05,385.0,,,
Calculate the exterior angle of a polygon,Angles in Polygons,B,A regular hexagon has all its sides and angles equal. What is the measure of one exterior angle of this hexagon?,360 degrees,60 degrees,120 degrees,180 degrees,386.0,,,
Convert between units of time,Time,A,"A movie lasts for 1 hour and 45 minutes. If the movie started at 2:30 PM, what time will it end? ",4:15 PM,4:75 PM,3:75 PM,3:15 PM,,,387.0,
Identify the mode as an average from a list of data,"Averages (mean, median, mode) from a List of Data",B,"What is the mode of the following numbers?
\[
2, \quad 3, \quad 3, \quad 4, \quad 5, \quad 5, \quad 5, \quad 6
\]",\( 4 \),\( 5 \),\( 3 \),\( 4.5 \),,,,390.0
Multiply a number by a decimal,Decimal Multiplication,A,"Calculate \( 12 \times 0.5 \).
",\( 6 \),\( 24 \),\( 12.5 \),\( 0.6 \),,,,394.0
Convert between units of mass,Units of Measurement,A,"A truck can carry a maximum load of 2 tonnes. If a shipment of goods weighs 18,000 kg, can the truck carry this shipment without exceeding its maximum load?","Yes, the truck can carry the shipment.","No, the truck cannot carry the shipment.","The truck can carry the shipment if it is reduced by 2,000 kg.","The truck can carry the shipment if it is reduced by 1,000 kg.",,395.0,,
Rounding to Estimate,Rounding and Estimation,A,Round 4567 to the nearest hundred and then estimate the sum of 4567 and 2345.,4600 + 2300 = 6900,4500 + 2300 = 6800,4600 + 2400 = 7000,4500 + 2400 = 6900,,399.0,,
Rationalise the Denominator,Rationalising Denominators,A,"Rationalise the denominator of the following expression:
\[
\frac{3}{\sqrt{5}}
\]",\(\frac{3\sqrt{5}}{5}\),\(\frac{3\sqrt{5}}{3}\),\(\frac{\sqrt{5}}{5}\),\(\frac{3}{5\sqrt{5}}\),,403.0,,
Understand the area of a bar in a histogram,Histograms,A,"A histogram is used to represent the distribution of the number of books read by students in a class over a month. The class width for the interval 0-5 books is 5, and the frequency for this interval is 10. What is the area of the bar representing this interval?",50,10,15,5,,406.0,,
Equate linear equations with negative variables,Linear Equations,A,Sarah and John are discussing the equation \( y = -x \). Sarah says that this equation is the same as \( x = -y \). John disagrees and says they are different. Who is correct?,Only Sarah,Only John,Both Sarah and John,Neither is correct,,407.0,,
Measure and Label Angles,"Basic Angle Facts (straight line, opposite, around a point, etc)",A,What is the size of angle \( \angle ABC \) in degrees? ![A diagram showing a triangle ABC with angle ABC marked. The angle is clearly a right angle.],\( 90 \) degrees,Right angle,\( 45 \) degrees,Acute angle,,410.0,,
Identify the center of rotation,Transformations,A,"A shape is rotated 90 degrees clockwise about a point to create an image. The original shape and its image are shown below. What are the coordinates of the center of rotation? ![A diagram showing an original shape and its rotated image. The original shape is a triangle with vertices at (1, 2), (3, 2), and (2, 4). The image of the triangle has vertices at (2, 1), (2, 3), and (4, 2).]","(2, 2)","(2, 3)","(3, 2)","(1, 2)",,411.0,,
Understand the concept of enlargement in both directions,Enlargement and Similarity,A,A rectangle has a length of 4 cm and a width of 2 cm. It is enlarged by a scale factor of 0.5. What are the dimensions of the new rectangle?,2 cm by 1 cm,8 cm by 4 cm,4 cm by 2 cm,1 cm by 0.5 cm,,412.0,,
